Strain,Total Reads,Total < 170,Total > 170,CN = 1,CN > 5,CN > 20,CN > 50,CN > 100
AnTar-30,82163,6306,44560,34856,1524,129,3,0
AnTar-7,71939,2365,34094,26092,1351,337,30,0
AnTat-11-17,91225,887,23273,16475,1470,433,175,146
AnTat-1-1E,1032730,19669,238584,162131,16652,2587,365,911
AnTat-17-1,317913,6113,57636,42149,3869,1207,581,580
AnTat-21-1,25490,974,9966,7270,882,111,0,0
AnTat-25-1S,2086057,34204,418715,283093,28881,6074,1283,1308
AnTat-25-1S-bis,142604,6676,69938,59542,783,377,361,41
AnTat-3-1,50616,1159,21698,14939,1418,228,4,0
AnTat-3-3,55358,1322,21419,14135,1609,256,20,0
AnTat-34-1-P10,967428,18585,227271,154620,15711,2395,327,882
AnTat-4-1,158762,7681,53364,37347,3547,589,155,81
AnTat-4-1-bis,165897,6848,65511,48851,3967,885,90,3
AnTat-5-2,86275,2314,36796,25869,1947,401,38,0
AnTat-9-1,9543,507,5202,3850,244,0,0,0
ATCC-30019,114627,2475,37756,24732,2602,543,160,37
ATCC30019,103078,2182,36652,24988,2298,524,130,21
ATCC-30023,92897,2613,33489,22059,2047,512,98,0
Bage,68694,1638,35364,29158,1503,305,17,0
BAT1,27931,858,13222,9723,877,60,0,0
BAT31,32891,944,15884,11564,938,77,0,0
BAT33,32504,1066,15404,11052,948,70,0,0
BAT35,34215,926,19440,15476,880,28,0,0
BIP20,4221,160,2893,2259,31,0,0,0
BIP24,15789,778,7099,5099,531,16,0,0
BIP28,5616,270,2967,2363,146,2,0,0
BIP33,11933,433,6439,4836,360,0,0,0
BIP42,17196,678,8849,6872,607,4,0,0
BoTat-1-1,124347,3153,34990,19516,3652,382,203,50
BoTat-1-1-bis,130878,5443,48979,34286,3336,368,178,21
BRAZAVILLE-BB,19185,482,7226,4666,791,41,0,0
C3359,29,14,13,13,0,0,0,0
C3392,31,12,18,18,0,0,0,0
Canadian-Strain,362318,6377,65782,44059,6829,1865,718,567
Colombia,54689,1385,24398,17254,1504,197,1,0
CP81,47,7,40,40,0,0,0,0
D12K-ITMAP1857,22583,752,10006,7521,784,59,0,0
Demba,41851,1005,21669,17472,1192,105,3,0
Doume1,2732,167,1835,1487,31,0,0,0
E28,111662,2938,33171,18732,3180,353,185,28
Etat-1-2R,575269,41994,216320,177122,6442,1098,375,490
F33,37067,634,19148,14723,1049,81,0,0
F39,40038,684,19515,14775,1234,102,0,0
F39UG,43369,1196,18515,13227,1421,151,1,0
F41,35645,687,18189,13969,1103,63,0,0
F42,39976,726,19785,15052,1225,98,1,0
Feo-AnTat-16-1-bis,1646675,49183,415140,310604,22632,4317,1114,1059
Frala,115881,3238,35375,28491,1324,508,217,175
GMOM-ZM-83-TRPZ323,2579433,65430,533647,372348,31471,4620,1409,1698
GPAL-ZM-80-TRPZ13,980468,19787,258283,177915,16198,2605,437,936
GPAL-ZM-83TRPZ265,98879,2519,39150,28498,2426,374,130,14
GPAL-ZM-83-TRPZ320,3031150,69420,577996,396943,37330,6693,2119,1892
GPAP-CI-82-KP10-29-bis,124323,5899,68890,56515,1786,502,43,0
GTAC-ET-70-GAMBELA4,492303,18748,194250,152836,7451,893,336,569
GUIWI-BOBO80-MURAZ18,147594,6372,68152,59376,2263,721,229,23
HAMBURG,95979,2783,35965,23525,2948,398,19,0
IL3905,111,9,101,100,0,0,0,0
INRB-2009-56A-15BT,61395,672,17276,12205,1130,224,191,48
ITM001,854503,16140,196158,129360,15483,2393,560,979
ITMAP1892,164784,5938,75933,60762,2767,694,233,17
J10,115072,2765,35327,25489,1711,804,225,54
Kazakstan,102928,1098,31887,22987,1626,575,171,94
Kenya,129718,2864,41820,26934,3131,716,205,8
Kenya-a,109493,7139,46401,35836,1951,440,79,15
Kenya-c,117555,4664,48817,36369,2486,613,87,0
KIN-1,132914,2957,40346,29861,2533,836,265,58
KISOU-BOBO-80-MURAZ15,76955,2072,38096,32608,1651,470,14,0
KOLO,105683,2488,31564,24343,1644,499,145,156
KOUAM-DALOA,106151,2859,47268,39911,2039,695,100,3
Leontio,2550,197,1900,1643,10,0,0,0
Lister-427,1625574,33251,342028,229102,22268,3952,818,1359
Lister-427-AT1-KO,856760,16034,215107,147257,14050,2306,540,763
LiTat-1-3,79761,2404,27566,20933,1578,643,97,0
LIZZARD,1314377,23920,291682,196738,18976,3763,639,1133
LOKO,107470,1339,27530,18042,2487,808,234,24
LOKO-BIIT,209262,4047,58857,45124,3817,1008,577,171
LOKO-BIIT-P2,196847,4055,61417,48259,3487,970,537,118
LOPEZ,1398462,39172,395623,303565,17170,3050,1030,998
MA,27388,960,10596,7307,931,106,0,0
MALC-BF-80-AB14,560189,16108,200844,149288,9341,1321,413,718
MALC-BF-80-AB25,254903,9540,114581,91807,3180,793,476,92
Mbadi,14755,423,6643,4915,437,41,0,0
MBOI-ZM-82-TRPZ260,709065,15620,186517,128693,11481,1612,411,716
MBO-NG-74-R10-bis,369001,9437,147486,112116,5927,436,272,398
MBOT-CI-78-TC348,275077,6271,123489,102890,2617,627,230,315
