Strain,Type,Total,QC_passed,QC_failed,Secondary,Supplementary,Duplicates,Mapped,Mapped_percent,Paired,Read1,Read2,Properly_paired,Properly_paired_percent,Self_and_mate_mapped,Singletons,Singletons_percent,Mate_mapped_diff_chr,Mate_mapped_diff_chr_mapQ_ge_5
AnTat-25-1S-bis,TBR,142604 142604 0 0 620 0 2174 0 141984 71021 70963 133256 0 141674 155 0 2174 2174
AnTat-3-1,Normal,24136290 24136290 0 0 231608 0 488911 0 23904682 11952341 11952341 20919836 0 22123170 228555 0 488911 488911
AnTat-3-1,TBR,50616 50616 0 0 180 0 399 0 50436 25242 25194 48496 0 50374 31 0 399 399
AnTat-3-3,Normal,26827737 26827737 0 0 268867 0 568274 0 26558870 13279435 13279435 23210674 0 24620126 233548 0 568274 568274
AnTat-3-3,TBR,55358 55358 0 0 246 0 573 0 55112 27527 27585 52380 0 55006 53 0 573 573
AnTat-34-1-P10,Normal,27026869 27026869 0 0 325135 0 696794 0 26701734 13350867 13350867 21972360 0 23650976 331510 0 696794 696794
AnTat-34-1-P10,TBR,967428 967428 0 0 2703 0 13392 0 964725 482406 482319 913120 0 962641 1042 0 13392 13392
AnTat-4-1,Normal,33626745 33626745 0 0 205369 0 213367 0 33421376 16710688 16710688 12077958 0 12707526 132845 0 213367 213367
AnTat-4-1,TBR,158762 158762 0 0 2186 0 3664 0 156576 78306 78270 144812 0 155020 778 0 3664 3664
AnTat-4-1-bis,Normal,37896226 37896226 0 0 347646 0 647455 0 37548580 18774290 18774290 30018814 0 31670422 274361 0 647455 647455
AnTat-4-1-bis,TBR,165897 165897 0 0 369 0 6453 0 165528 82814 82714 150452 0 165188 170 0 6453 6453
AnTat-5-2,Normal,24058991 24058991 0 0 343913 0 536053 0 23715078 11857539 11857539 19671538 0 20988782 239608 0 536053 536053
AnTat-5-2,TBR,86275 86275 0 0 229 0 1687 0 86046 43049 42997 81782 0 85802 122 0 1687 1687
AnTat-9-1,Normal,44943788 44943788 0 0 398884 0 749543 0 44544904 22272452 22272452 37450462 0 39368402 281807 0 749543 749543
AnTat-9-1,TBR,9543 9543 0 0 29 0 101 0 9514 4752 4762 9130 0 9488 13 0 101 101
ATCC-30019,Normal,24815998 24815998 0 0 251914 0 494397 0 24564084 12282042 12282042 20451498 0 21761126 205414 0 494397 494397
ATCC-30019,TBR,114627 114627 0 0 184 0 2511 0 114443 57236 57207 107614 0 114109 167 0 2511 2511
ATCC30019,Normal,23380501 23380501 0 0 228077 0 449401 0 23152424 11576212 11576212 19389854 0 20575950 199648 0 449401 449401
ATCC30019,TBR,103078 103078 0 0 122 0 2032 0 102956 51509 51447 97640 0 102780 88 0 2032 2032
ATCC-30023,Normal,28043079 28043079 0 0 292809 0 545437 0 27750270 13875135 13875135 24527672 0 25950312 218177 0 545437 545437
ATCC-30023,TBR,92897 92897 0 0 283 0 1409 0 92614 46280 46334 87488 0 92454 80 0 1409 1409
Bage,Normal,42314408 42314408 0 0 358310 0 653944 0 41956098 20978049 20978049 36805394 0 38449490 244162 0 653944 653944
